Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
442,Brad Wanamaker,PG,30,BOS,24,0,17.9,2.4,5,0.471,0.5,1.3,0.4,1.9,3.8,0.495,0.521,2,2.3,0.873,0.5,1.6,2,2.8,0.7,0.3,1.2,1.7,7.3
443,T.J. Warren,SF,26,IND,28,28,32.6,7,14.1,0.499,1.2,3.2,0.371,5.9,10.9,0.536,0.541,2.3,2.8,0.823,0.8,2.8,3.5,1.1,1.1,0.4,1.4,2.7,17.6
444,PJ Washington,PF,21,CHO,28,28,29.4,4.5,9.4,0.481,1.4,3.4,0.406,3.1,6,0.524,0.555,1.8,2.5,0.704,0.9,4.3,5.3,1.8,1,0.9,1.4,2.8,12.3
445,Yuta Watanabe,SG,25,MEM,4,0,4.5,0.8,1.5,0.5,0.3,0.5,0.5,0.5,1,0.5,0.583,0,0,,0.3,1,1.3,0,0,0.3,0.3,0.3,1.8
446,Tremont Waters,PG,22,BOS,1,0,20,2,7,0.286,1,5,0.2,1,2,0.5,0.357,2,2,1,0,2,2,3,1,2,2,2,7
447,Russell Westbrook,PG,31,HOU,24,24,34.8,8.5,20,0.426,1.2,5.1,0.228,7.3,14.8,0.494,0.455,4.7,6.1,0.767,1.6,6.5,8.1,7.2,1.6,0.4,4.4,3.8,22.8
448,Coby White,SG,19,CHI,29,0,24.5,4,11.4,0.352,1.8,5.6,0.323,2.2,5.9,0.38,0.431,1.3,1.7,0.792,0.3,3.2,3.5,2.5,0.8,0.1,1.4,1.4,11.2
449,Derrick White,SG,25,SAS,24,10,24.1,3.5,7.5,0.464,0.9,2.3,0.4,2.5,5.2,0.492,0.525,2.1,2.6,0.794,0.5,2,2.5,2.9,0.5,0.6,1.2,2.4,9.9
450,Hassan Whiteside,C,30,POR,24,24,28.5,6.6,10.7,0.621,0,0,1,6.6,10.6,0.62,0.623,2.6,3.4,0.768,3.6,8.9,12.5,1.3,0.5,2.5,2,3,15.9
451,Andrew Wiggins,SF,24,MIN,21,21,35,9.4,20.3,0.461,2.2,6.6,0.333,7.2,13.8,0.522,0.515,4,5.4,0.746,1.2,3.9,5.1,3.3,0.7,1.1,2,2.4,25
452,Grant Williams,PF,21,BOS,22,1,14,0.7,2.7,0.25,0,1.2,0.038,0.6,1.5,0.412,0.258,0.6,0.8,0.824,0.7,1.5,2.2,0.8,0.4,0.5,0.8,2,2
453,Kenrich Williams,PF,25,NOP,26,16,25.2,1.8,4.9,0.37,0.9,3.3,0.279,0.9,1.6,0.561,0.465,0.3,0.9,0.375,1.6,4.3,5.8,1.8,0.8,0.8,0.7,2.6,4.9
454,Lou Williams,SG,33,LAC,27,3,30.7,6.6,15.8,0.415,1.9,5,0.368,4.7,10.7,0.438,0.474,5,5.9,0.838,0.4,2.7,3.2,6.3,0.5,0.1,3.2,1.5,19.9
455,Marvin Williams,PF,33,CHO,25,0,20.5,2.7,5.4,0.504,1.3,3.2,0.413,1.4,2.2,0.636,0.626,1.2,1.3,0.909,0.4,2.4,2.8,0.9,0.7,0.5,0.7,1.7,8
